Designator,Mid X,Mid Y,Side,Rot
C1,85.275,-86.6,top,180
C2,44.85,-105.78,top,0
C3,117.8,-83.4,top,90
C4,44.95,-108.2,top,180
C5,115.075,-89,top,0
C6,76.875,-87.6,top,0
C7,111.075,-89,top,0
C8,105.025,-106.45,top,90
C9,84.025,-102.5,top,270
C10,84.025,-99.05,top,270
C11,84.025,-106.05,top,90
C12,81.525,-106.05,top,270
C13,80.475,-103,top,0
C14,76.525,-103,top,0
D1,121.0875,-83.5,top,180
D2,115.025,-92.0625,top,90
D3,111.025,-92.0625,top,270
D4,53.7225,-82.6875,top,270
D5,49.1075,-82.6875,top,270
D6,58.3375,-82.6875,top,270
D7,113.525,-101.5,top,180
D8,82.825,-109,top,0
D9,96.325,-85.9375,top,270
F1,127.6625,-106.5,top,0
F2,121.025,-106.5,top,180
J1,122.425,-99.2825,top,90
Q1,112.0875,-106.5,top,180
Q2,108.0875,-106.5,top,180
R1,60.8,-82.6875,top,270
R2,56.6,-107.3125,top,90
R3,59,-107.2875,top,270
R4,44.6,-82.7125,top,90
R5,46.8,-82.7125,top,90
R6,51.415,-82.6875,top,90
R7,56.03,-82.6875,top,270
R9,107.9375,-101.5,top,180
R10,70.5125,-90.4,top,0
R11,70.5125,-93.35,top,0
R12,70.5125,-96.3,top,0
R13,70.5125,-99.25,top,0
R14,85.2375,-84.2,top,180
R15,73.6,-87.4,top,270
R16,77.0125,-93.8,top,0
R17,85.4375,-94.2,top,180
R18,100.125,-86.2875,top,270
R19,94.0375,-82.6,top,180
R20,81.325,-95.0875,top,270
R21,90.725,-92.3125,top,90
R22,99.0125,-82.8,top,0
R23,103.6125,-82.8,top,0
R24,103.6125,-85.75,top,0
R25,103.6125,-89.8,top,0
SW1,67,-85.5,top,0
SW2,67,-104.5,top,0
U1,50.65,-107.2625,top,270
U2,49.7,-94.86,top,90
U3,95.675,-103.96,top,0
U4,85.3875,-90.55,top,180
U5,76.8875,-90.55,top,180
U6,76.525,-107,top,0
