"Reference","Value","Footprint","Qty","DNP","Description"
"C1,C3,C4,C5,C6,C7,C10,C12,C14","100n","Capacitor_SMD:C_0805_2012Metric","9","","C28233"
"C2,C8","1u","Capacitor_SMD:C_0805_2012Metric","2","","C28323"
"C9,C11,C13","10u","Capacitor_SMD:C_0805_2012Metric","3","","C15850"
"D1,D2,D3,D9","BAV99","Package_TO_SOT_SMD:SOT-23","4","","C2500"
"D4","GRN","LED_SMD:LED_0805_2012Metric","1","","C2297"
"D5","RED","LED_SMD:LED_0805_2012Metric","1","","C84256"
"D6","YLW","LED_SMD:LED_0805_2012Metric","1","","C2296"
"D7","D_TVS","Diode_SMD:D_SMA","1","","C309871"
"D8","5.2V","Diode_SMD:D_SOD-523","1","","C2993047"
"F1,F2","Polyfuse","Fuse:Fuse_1812_4532Metric","2","","C12604"
"H1,H2","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","2","",""
"H3,H4","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","2","DNP",""
"J1","8P8C","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","1","","C3097717"
"J2","1x6","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","DNP",""
"J3","TC2030","Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical","1","DNP",""
"Q1,Q2","Si2309CDS","Package_TO_SOT_SMD:SOT-23","2","","C10493"
"R1,R2,R3,R5,R14,R15,R16,R17,R19,R20","10K","Resistor_SMD:R_0805_2012Metric","10","","C17414"
"R4,R6,R7","220","Resistor_SMD:R_0805_2012Metric","3","","C17557"
"R8","DNP","Resistor_SMD:R_0805_2012Metric","1","DNP",""
"R9","1M","Resistor_SMD:R_0805_2012Metric","1","","C17514"
"R10,R11,R12,R13,R23,R24,R25","1K","Resistor_SMD:R_0805_2012Metric","7","","C17513"
"R18,R21","220k","Resistor_SMD:R_0805_2012Metric","2","","C17539"
"R22","4K7","Resistor_SMD:R_0805_2012Metric","1","","C17713"
"SW1,SW2","SW_Push","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","2","","C318884"
"TP1,TP2,TP3,TP4,TP5,TP6","TestPoint","TestPoint:TestPoint_Pad_D2.0mm","6","DNP",""
"U1","APX803L20-29SA-7","Package_TO_SOT_SMD:SOT-23","1","","C2067355"
"U2","ESP32-C3-WROOM-02","RF_Module:ESP32-C3-WROOM-02","1","","C2934560"
"U3","L7805","Package_TO_SOT_SMD:TO-263-2","1","","C86206"
"U4","74LVC2G07","Package_TO_SOT_SMD:SOT-23-6","1","","C151607"
"U5","74LVC2G07_3v3","Package_TO_SOT_SMD:SOT-23-6","1","","C151607"
"U6","AP2205-3.3","Package_TO_SOT_SMD:SOT-89-3","1","","C5205181"
