Comment,Designator,Footprint,LCSC,Quantity
100n,"C1,C10,C12,C14,C3,C4,C5,C6,C7",C_0805_2012Metric,C28233,9
10K,"R1,R14,R15,R16,R17,R19,R2,R20,R3,R5",R_0805_2012Metric,C17414,10
10u,"C11,C13,C9",C_0805_2012Metric,C15850,3
1K,"R10,R11,R12,R13,R23,R24,R25",R_0805_2012Metric,C17513,7
1M,R9,R_0805_2012Metric,C17514,1
1u,"C2,C8",C_0805_2012Metric,C28323,2
220,"R4,R6,R7",R_0805_2012Metric,C17557,3
220k,"R18,R21",R_0805_2012Metric,C17539,2
4K7,R22,R_0805_2012Metric,C17713,1
5.2V,D8,D_SOD-123,C78479,1
74LVC2G07,U4,SOT-23-6,C151607,1
74LVC2G07_3v3,U5,SOT-23-6,C151607,1
8P8C,J1,RJ45_Amphenol_54602-x08_Horizontal,C3097717,1
AP2205-3.3,U6,SOT-89-3,C5205181,1
APX803L20-29SA-7,U1,SOT-23,C2067355,1
BAV99,"D1,D2,D3,D9",SOT-23,C2500,4
D_TVS,D7,D_SMA,C309871,1
ESP32-C3-WROOM-02,U2,ESP32-C3-WROOM-02,C2934560,1
GRN,D4,LED_0805_2012Metric,C2297,1
L7805,U3,TO-263-2,C86206,1
Polyfuse,"F1,F2",Fuse_1812_4532Metric,C12604,2
RED,D5,LED_0805_2012Metric,C84256,1
SW_Push,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884,2
Si2309CDS,"Q1,Q2",SOT-23,C10493,2
YLW,D6,LED_0805_2012Metric,C2296,1
